ST,east,north,up,azimuth,distance
741009607.0,-212.13175436235093,212.13187478627248,-0.007210267370609813,-44.99998373703994,299.99968918181827
741009627.0,-211.566892434424,212.1318429795101,-0.007178273422880466,-44.92360311707712,299.60051532038904
741009647.0,-211.00063726454877,212.13164009823834,-0.006974198178568258,-44.84685277363873,299.20077148432324
741009667.0,-210.4349573915512,212.1320138923623,-0.007350192110877174,-44.769897651855864,298.8023805300308
741009687.0,-209.8687022219438,212.13181101135905,-0.007146117136684893,-44.69273653678402,298.4037154850487
741009707.0,-209.30384029336813,212.131779204517,-0.007114123108834747,-44.61553669177239,298.00669339802704
741009727.0,-208.73758512376077,212.13157632351374,-0.006910048134628255,-44.537962925244535,297.60911463998883
741009747.0,-208.17190525049529,212.13195011736917,-0.007286041796803033,-44.46018305301515,297.21289742576647
741009767.0,-207.60704332256836,212.13191831060678,-0.007254047849073686,-44.382363275615006,296.8175116182951
741009787.0,-207.0407881526931,212.13171542933497,-0.007049972604761479,-44.30416641444017,296.42157925812467
741009807.0,-206.47510827969552,212.13208922345893,-0.007425966537056183,-44.22576246592425,296.02701501285577
741009827.0,-205.90967105489096,212.13148074130083,-0.006813903412734135,-44.14731572176808,295.6324707393122
741009847.0,-205.34399118189333,212.1318545354248,-0.00718989734504305,-44.06849304070614,295.2390191406754
741009867.0,-204.777736012286,212.13165165442155,-0.0069858223708365585,-43.98945754026806,294.84531334235305
741009887.0,-204.2128740837103,212.1316198475795,-0.006953828342972201,-43.9103830601429,294.45325958577416
741009907.0,-203.64661891410293,212.13141696657624,-0.006749753368794131,-43.83092513546645,294.0606798934419
741009927.0,-203.08093904083745,212.1317907604316,-0.007125747030940488,-43.75125819682771,293.66948165060643
741009947.0,-202.51525916783987,212.13216455455557,-0.007501740963235193,-43.67137888072218,293.27885268873104
741009967.0,-201.94982194303526,212.13155607239747,-0.006889677838898933,-43.59145352174228,292.8882511548054
741009987.0,-201.38414207003768,212.1319298665214,-0.007265671771193638,-43.511147907973715,292.49876640112495
741010007.0,-200.81788690016242,212.13172698524966,-0.0070615965268956415,-43.4306241167948,292.10904349710046
741010027.0,-200.25302497185464,212.13169517867613,-0.007029602769151211,-43.35006125404387,291.7209798930427
741010047.0,-199.68676980224726,212.13220147610355,-0.00612049851804386,-43.269011875744724,291.33293143267184
741010067.0,-199.12108992898177,212.13257526995898,-0.006496492180232849,-43.18784692281036,290.94576461115645
741010087.0,-198.5556527044451,212.13196678806938,-0.005884429326016516,-43.10663312771023,290.5586318701662
741010107.0,-197.9899728311796,212.13234058192478,-0.006260422988191294,-43.025035428526245,290.1726369981445
741010127.0,-197.42429295818204,212.13271437604874,-0.006636416920471788,-42.9432205200539,289.7872322214841
741010147.0,-196.85885573299655,212.1321058940795,-0.006024353986134656,-42.861355365832466,289.4018649414024
741010167.0,-196.29317585999894,212.13247968820343,-0.006400347918429361,-42.779104503630606,289.0176462222861
741010187.0,-195.7269206901237,212.13227680693166,-0.006196272674117154,-42.69662852761068,288.6332107470148
741010207.0,-195.16124081712613,212.13265060105562,-0.006572266606397648,-42.613939275418716,288.2501888434938
741010227.0,-194.59580359258942,212.13204211916602,-0.0059602037521813145,-42.53119790271395,287.86720909039514
