time,iso_string,NDP1-1,NDP1-2,NDP1-3
741009607.0,2023-06-26T00:00:07.000,-3.5769375096195155,-6.951193654813892,-2.751935778755321
741009627.0,2023-06-26T00:00:27.000,-2.317715597244252,-7.48448348943942,-0.6125621699548667
741009647.0,2023-06-26T00:00:47.000,-3.678972004272918,-6.590855633992199,-1.5376039995573798
741009667.0,2023-06-26T00:01:07.000,-2.7578269355510443,-5.922605820973814,-1.632670781870349
741009687.0,2023-06-26T00:01:27.000,-3.8425592976842893,-5.358151301648739,-2.849302004170884
741009707.0,2023-06-26T00:01:47.000,-2.369192351769911,-5.406018339582097,-2.639685598404551
741009727.0,2023-06-26T00:02:07.000,-2.1948462919474387,-4.440208467770823,-2.622162160370589
741009747.0,2023-06-26T00:02:27.000,-3.9718823667378444,-4.953927069362152,-1.7153068408326533
741009767.0,2023-06-26T00:02:47.000,-2.193948970896642,-7.779669531915445,-1.240010199687891
741009787.0,2023-06-26T00:03:07.000,-2.207622968430911,-6.718341505784764,-3.0115781847306344
741009807.0,2023-06-26T00:03:27.000,-1.404541124339076,-5.199126774368956,-0.8565790091563663
741009827.0,2023-06-26T00:03:47.000,-1.966904002670411,-5.879259392127523,-1.5517905169515345
741009847.0,2023-06-26T00:04:07.000,-2.191199890400064,-6.824668043492466,-2.755965144529693
741009867.0,2023-06-26T00:04:27.000,-2.2348911972724927,-4.5325715175792425,-1.2389464549289464
741009887.0,2023-06-26T00:04:47.000,-2.187133390829654,-7.182142580930417,-1.9713424463496665
741009907.0,2023-06-26T00:05:07.000,-1.8777664876012956,-7.607084267369224,-1.7739188638010717
741009927.0,2023-06-26T00:05:27.000,-1.7093859375316711,-5.946036013626532,-0.6702988486262385
741009947.0,2023-06-26T00:05:47.000,-2.5758900734085266,-6.511622006533102,-3.8273293086810156
741009967.0,2023-06-26T00:06:07.000,-3.4782234215158248,-7.493099104793899,-2.690492231138819
741009987.0,2023-06-26T00:06:27.000,-4.574182451710929,-7.2626294136624026,-1.6043349181482647
741010007.0,2023-06-26T00:06:47.000,-1.902981379309221,-6.949887170959457,-2.1654617428867873
741010027.0,2023-06-26T00:07:07.000,-2.9434920927329244,-5.612453095005243,-1.6432564936108562
741010047.0,2023-06-26T00:07:27.000,-2.5731315738131144,-7.600545263164449,-2.241328077901006
741010067.0,2023-06-26T00:07:47.000,-4.216924476141415,-5.9928642239359675,-1.8220963377446608
741010087.0,2023-06-26T00:08:07.000,-0.9164847447284963,-6.189017983504463,0.47241390306318465
741010107.0,2023-06-26T00:08:27.000,-3.4573889641564826,-7.509222105128721,-2.5346379890600623
741010127.0,2023-06-26T00:08:47.000,-3.010234512590415,-6.819217112119524,-1.0015976641075675
741010147.0,2023-06-26T00:09:07.000,-2.8450477429275978,-6.348085612239984,-2.3134165953564434
741010167.0,2023-06-26T00:09:27.000,-4.395735402773493,-6.77614393562731,-1.8002471703693068
741010187.0,2023-06-26T00:09:47.000,-2.305534757407468,-4.9963395083896245,-1.9384360975038817
741010207.0,2023-06-26T00:10:07.000,-3.624308631744455,-6.108840253249426,-3.3276384906577583
741010227.0,2023-06-26T00:10:27.000,-2.6835250886425577,-8.345696271794267,-1.7653620123403435
741010247.0,2023-06-26T00:10:47.000,-2.676448773142326,-5.657619895371724,-2.188486749221674
741010267.0,2023-06-26T00:11:07.000,-3.175742223060496,-5.814457568020792,-1.4045895230241356
741010287.0,2023-06-26T00:11:27.000,-3.2671283689111874,-6.860889802284831,-1.639240334838643
741010307.0,2023-06-26T00:11:47.000,-3.2646434436456317,-5.935027768111389,-1.8513627489724627
741010327.0,2023-06-26T00:12:07.000,-2.672100202272265,-6.599495090342522,-2.018451114849107
741010347.0,2023-06-26T00:12:27.000,-2.467259231719865,-6.241214341207169,-3.2997883696150865
