time,iso_string,NDP1-1,NDP1-2,NDP1-3
741010047.0,2023-06-26T00:07:27.000,-91098.04711875497,-295449.5742916864,-141535.1607823895
741010067.0,2023-06-26T00:07:47.000,-90255.04362328947,-295875.7030610588,-142957.7550203653
741010087.0,2023-06-26T00:08:07.000,-89604.94080334135,-296937.6416989941,-144439.02052769528
741010107.0,2023-06-26T00:08:27.000,-88817.41520255979,-297430.1235180495,-145891.63242787003
741010127.0,2023-06-26T00:08:47.000,-88017.95931791105,-298170.3485275778,-147239.752504664
741010147.0,2023-06-26T00:09:07.000,-87378.12575368902,-298768.2430664331,-148781.18158871174
741010167.0,2023-06-26T00:09:27.000,-86633.58783166102,-299280.7673543758,-150283.86891600766
741010187.0,2023-06-26T00:09:47.000,-86027.38624753462,-299998.7662962493,-151799.67788050772
741010207.0,2023-06-26T00:10:07.000,-85299.16458223437,-300679.0531631184,-153225.4298614154
741010227.0,2023-06-26T00:10:27.000,-84461.52154846245,-301095.09589540825,-154667.56167711536
741010247.0,2023-06-26T00:10:47.000,-83599.40274751466,-301893.1521997656,-156041.93454559584
741010267.0,2023-06-26T00:11:07.000,-83102.69315868437,-302397.74888291874,-157435.22361992308
741010287.0,2023-06-26T00:11:27.000,-82515.49892426947,-303093.6151772754,-158986.032084745
741010307.0,2023-06-26T00:11:47.000,-81657.73588620285,-303534.1685053523,-160594.9700692083
741010327.0,2023-06-26T00:12:07.000,-80860.59068308683,-304254.89177821385,-161913.00352898645
741010347.0,2023-06-26T00:12:27.000,-79960.80903903452,-304599.34456083644,-163276.70697448187
741010367.0,2023-06-26T00:12:47.000,-79672.19534227242,-305519.0863358312,-165001.91085645952
741010387.0,2023-06-26T00:13:07.000,-78984.33081666935,-305926.7969709295,-166481.7521792749
741010407.0,2023-06-26T00:13:27.000,-78131.6866060202,-306302.37584549596,-167722.8085350335
741010427.0,2023-06-26T00:13:47.000,-77401.65426992341,-306943.43017480813,-169311.33251774518
741010447.0,2023-06-26T00:14:07.000,-76972.58602466143,-307626.54518035334,-170885.82482197738
741010467.0,2023-06-26T00:14:27.000,-76398.24760146622,-308109.0237863233,-172279.90996434184
741010487.0,2023-06-26T00:14:47.000,-75557.97191657867,-308625.0950956885,-173690.28471410947
741010507.0,2023-06-26T00:15:07.000,-74788.60461897752,-308915.94363258476,-175076.72966609488
741010527.0,2023-06-26T00:15:27.000,-74324.94640163606,-309559.89527470584,-176659.35860796494
741010547.0,2023-06-26T00:15:47.000,-73489.86356178248,-309805.1360865631,-178215.20861261996
741010567.0,2023-06-26T00:16:07.000,-72930.84089506824,-310497.41328022204,-179527.47474199175
741010587.0,2023-06-26T00:16:27.000,-72447.43615307378,-310923.3089003408,-181116.80720233332
741010607.0,2023-06-26T00:16:47.000,-71823.36191119325,-311493.21755782777,-182513.96219894415
741010627.0,2023-06-26T00:17:07.000,-70957.5584942227,-311668.04297962185,-183998.3208516638
