time,iso_string,NDP1-1,NDP1-2,NDP1-3
741009607.0,2023-06-26T00:00:07.000,-8.764195241639516,-8.818061318138781,-6.178931023903544
741009627.0,2023-06-26T00:00:27.000,-8.087915817711622,-10.315803377114463,-6.667376803226599
741009647.0,2023-06-26T00:00:47.000,-6.742840069329237,-8.525773953760307,-6.679278246890519
741009667.0,2023-06-26T00:01:07.000,-7.923781851726375,-9.594926877121157,-6.4636813141838445
741009687.0,2023-06-26T00:01:27.000,-7.249254972307995,-8.838011544909374,-7.552969774615725
741009707.0,2023-06-26T00:01:47.000,-8.244479254093662,-8.506879663128242,-5.21677612941307
741009727.0,2023-06-26T00:02:07.000,-7.121659432407501,-8.602770037935414,-6.50058744033899
741009747.0,2023-06-26T00:02:27.000,-7.601017622549389,-9.336966128392632,-6.52989677819571
741009767.0,2023-06-26T00:02:47.000,-7.657638627034391,-8.375243633151896,-6.703126243301494
741009787.0,2023-06-26T00:03:07.000,-7.470772415896221,-7.162174885033679,-5.947750634605065
741009807.0,2023-06-26T00:03:27.000,-8.607611783206792,-8.468151295681903,-6.3095826427939095
741009827.0,2023-06-26T00:03:47.000,-6.637497885852994,-8.424910426196863,-5.087182335949958
741009847.0,2023-06-26T00:04:07.000,-7.054713488685582,-7.408439389189336,-6.161947914584687
741009867.0,2023-06-26T00:04:27.000,-6.46622736332203,-8.03404333500346,-6.146157436026645
741009887.0,2023-06-26T00:04:47.000,-6.0836989333235,-9.870693108704476,-4.702565255598756
741009907.0,2023-06-26T00:05:07.000,-6.809975170074534,-6.7060620572267915,-5.972923506725181
741009927.0,2023-06-26T00:05:27.000,-6.858439252455106,-7.118497069635854,-5.455000165743851
741009947.0,2023-06-26T00:05:47.000,-7.783891775303697,-7.326350413006111,-4.954288842440313
741009967.0,2023-06-26T00:06:07.000,-6.016193285718341,-8.170587804834373,-4.68626607309508
741009987.0,2023-06-26T00:06:27.000,-6.400658239791301,-8.712548715517077,-4.457987864758817
741010007.0,2023-06-26T00:06:47.000,-6.643637669334623,-7.330932557703118,-5.167122076743524
741010027.0,2023-06-26T00:07:07.000,-6.505667089640177,-7.037037847668071,-5.9317424309424105
741010047.0,2023-06-26T00:07:27.000,-4.957403954075623,-6.127781267140087,-4.811111905700383
741010067.0,2023-06-26T00:07:47.000,-5.732765058064082,-6.0825948653198125,-6.197352737191686
741010087.0,2023-06-26T00:08:07.000,-4.254591494512461,-5.901589284296183,-4.942812729946677
741010107.0,2023-06-26T00:08:27.000,-5.3315842663104185,-7.516759536341233,-4.497746965770322
741010127.0,2023-06-26T00:08:47.000,-4.784375122279805,-8.77326559507452,-3.8367202861100402
741010147.0,2023-06-26T00:09:07.000,-5.28338952164864,-6.22455092562646,-4.531321932543797
741010167.0,2023-06-26T00:09:27.000,-5.7275280946011975,-7.808971387990304,-3.9629914143968215
741010187.0,2023-06-26T00:09:47.000,-4.0168168781162805,-6.057811313908701,-4.171541285735714
741010207.0,2023-06-26T00:10:07.000,-3.2929902255007804,-6.2126206004320395,-2.6136520233088767
741010227.0,2023-06-26T00:10:27.000,-4.551520185813729,-6.867256100506758,-4.0390321267236295
741010247.0,2023-06-26T00:10:47.000,-4.925282320589197,-5.363293815163761,-5.694430269287398
741010267.0,2023-06-26T00:11:07.000,-5.245191694147611,-6.692662606311295,-3.583043052124424
741010287.0,2023-06-26T00:11:27.000,-4.993585229084996,-7.118400762506916,-3.42411525267039
741010307.0,2023-06-26T00:11:47.000,-3.2582562607297305,-6.24148316696882,-3.1766521616516386
741010327.0,2023-06-26T00:12:07.000,-3.582313572414453,-5.7624211762918875,-4.159874108844441
741010347.0,2023-06-26T00:12:27.000,-3.786185605836323,-7.109297007890092,-3.9269315850409825
741010367.0,2023-06-26T00:12:47.000,-3.1282969042534248,-5.087815291970887,-3.6975876119949014
741010387.0,2023-06-26T00:13:07.000,-3.4648517014845837,-5.874028831809319,-2.177785610313343
741010407.0,2023-06-26T00:13:27.000,-3.0159159905451816,-5.584497709265612,-4.117824983329577
