ST,east,north,up,azimuth,distance
741009607.0,-0.00017469863405494834,3999.9998182412323,-1.2565250673067112,-2.502373718219333e-06,3999.999818241236
741009627.0,8.379947045343897,3999.991300680337,-1.2564676662393595,0.12003398500515658,4000.0000786288565
741009647.0,16.760671436873736,3999.964381169933,-1.2563389727074536,0.24007966655107799,3999.999496341866
741009667.0,25.140847882086973,3999.9209222394456,-1.2565940946710725,0.36011849652616684,3999.999930800135
741009687.0,33.52162697458448,3999.8590613590577,-1.2567779250969124,0.4801676144524293,3999.99952627637
741009707.0,41.90104017634371,3999.780255457619,-1.256937583057379,0.6001992083885533,3999.99972363955
741009727.0,50.28105602527421,3999.6837567849143,-1.2563209190868747,0.7202420809249026,3999.9997923605074
741009747.0,58.66052392788811,3999.570009513034,-1.2567931005448827,0.8402801977899717,4000.000164757945
741009767.0,67.03977653309653,3999.438163870308,-1.2560809721851456,0.9603190267948646,3999.9999947824886
741009787.0,75.4184811922562,3999.289069627478,-1.2564576896406834,1.0803541501475546,4000.0001262183937
741009807.0,83.79778849831928,3999.1215734358793,-1.2567631140550475,1.2004028911311606,3999.999428559643
741009827.0,92.17572991364386,3998.9378414010007,-1.256339337384361,1.3204369464102406,4000.000028071751
741009847.0,100.5536986799109,3998.736284091741,-1.2564243371555222,1.440477249052407,4000.0003645037377
741009867.0,108.93145214801075,3998.5159192328256,-1.2560300560062387,1.5605212582889334,3999.999452203138
741009887.0,117.30865767017485,3998.2790149533557,-1.25601959119831,1.6805638978518767,3999.999550322569
741009907.0,125.68449730160046,3998.0244564730842,-1.2566899845155604,1.8005943950608048,3999.999518427328
741009927.0,134.06093958019756,3997.752205222206,-1.2565840552449572,1.9206414885452154,3999.999378734969
741009947.0,142.4360159677883,3997.463008949887,-1.2564539544362106,2.0406771539267896,3999.9998158209282
741009967.0,150.81111970594043,3997.1559874036575,-1.2568326292230267,2.1607222842594385,3999.9999976829836
741009987.0,159.18461490500636,3996.831038559501,-1.2561990765314022,2.2807540736302467,3999.9997615518773
741010007.0,167.55895539970425,3996.4886700423212,-1.256482287315066,2.400807899884824,3999.9997116638997
741010027.0,175.93111205832543,3996.128950902813,-1.2563333386808608,2.5208408822724926,3999.9997935542065
741010047.0,184.30329606750797,3995.751406488735,-1.256693166299101,2.640885488694791,3999.999625924739
741010067.0,192.67411418595225,3995.3569170529463,-1.2570288221083956,2.760921727459404,4000.000026115021
741010087.0,201.0447170066102,3994.944329246123,-1.2561801679100881,2.88096736500384,3999.9998965015016
741010107.0,209.41337863991998,3994.5146639136246,-1.256592440743134,3.0009975226328023,4000.0001704217916
741010127.0,217.78182497571083,3994.066191031392,-1.2565254325754722,3.12103872517846,3999.9992077036422
741010147.0,226.14972336518554,3993.601887906846,-1.256137211282521,3.2410844423182232,3999.999967058909
741010167.0,234.51543791885138,3993.118815803503,-1.2567268881985,3.3611141217631078,3999.999420968238
741010187.0,242.8811798231916,3992.619336782247,-1.2564152839295275,3.481157968185888,4000.000054494976
741010207.0,251.24613113302235,3992.101626886196,-1.2562044673761648,3.601206350016946,4000.0000022245904
741010227.0,259.60889860742486,3991.565857188645,-1.2562665212574302,3.7212397822532153,3999.999346563732
741010247.0,267.9711181357793,3991.013548070742,-1.256712390363873,3.8412807671180405,3999.9997076298837
741010267.0,276.3317291246667,3990.443311656045,-1.2561460304893899,3.961315957615488,3999.9996310076694
741010287.0,284.69179216788643,3989.8558266414325,-1.2566685166193565,4.081360381549675,3999.999866739042
741010307.0,293.0502466716391,3989.2504143293654,-1.2561787744252797,4.201400098746159,3999.9996644126513
741010327.0,301.4073352846535,3988.627347817818,-1.2563698890430715,4.321438846676298,3999.9993126903905
741010347.0,309.7630580069299,3987.98733628456,-1.256536831852145,4.44147637903434,3999.9995183089495
741010367.0,318.1179901346968,3987.3298030542765,-1.256099533756469,4.561522043882215,3999.9997517465167
741010387.0,326.4715563714576,3986.6546156241197,-1.2563430933992095,4.681568307415558,3999.9998376745843
741010407.0,334.8229387727904,3985.962077572217,-1.2561544928876174,4.801603670825621,4000.000010521534
741010427.0,343.17295528300406,3985.251885319984,-1.2566467496537825,4.921640699402875,4000.0000333355197
741010447.0,351.521363254019,3984.523765769367,-1.256126778482212,5.041676815028359,3999.999613600589
741010467.0,359.8692232790977,3983.7783976204255,-1.2566956522728105,5.1617268400574305,3999.9995224013046
741010487.0,368.21489946836823,3983.015678849547,-1.25683236571831,5.281768073291348,3999.9995137689475
741010507.0,376.5583918218297,3982.2356094554125,-1.2565369201324756,5.40180103439075,3999.999583958249
741010527.0,384.9005182845526,3981.4385950395663,-1.256217302737241,5.5218373460162695,4000.0002118807884
741010547.0,393.2418541531474,3980.622640570683,-1.2567035025249425,5.641888494727891,3999.99947031018
741010567.0,401.5804308890554,3979.7906213330302,-1.256632582524162,5.761922940986457,4000.000029015423
741010587.0,409.9173990857644,3978.9399656192227,-1.2562544632050958,5.881961264189569,3999.9994405093535
741010607.0,418.25242609512543,3978.072941559492,-1.2564322403275128,6.001995958599911,3999.99992753778
741010627.0,426.5866625103581,3977.187686623834,-1.2567108066689343,6.122046686535086,3999.999759407989
741010647.0,434.91789714444326,3976.2846754656216,-1.2561492250551964,6.242081809318687,3999.999174699826
741010667.0,443.2471905914481,3975.365295960558,-1.256143540269477,6.362114787007271,3999.999663536834
741010687.0,451.5756934440567,3974.4276855804947,-1.2562386443159994,6.4821654373355795,3999.9995043522454
741010707.0,459.901437164247,3973.4733012529628,-1.2564816575807072,6.602203935685141,3999.9999259594815
741010727.0,468.2249970492767,3972.500857124324,-1.2569975403539502,6.722241096767365,3999.9997134644
741010747.0,476.5469483941911,3971.5111948774006,-1.2557961649490608,6.842284250028243,3999.9997706325353
741010767.0,484.8669585520249,3970.503745926104,-1.2565607455824193,6.962330155570896,3999.9994954885574
741010787.0,493.1833916327505,3969.479826605732,-1.25636021780997,7.082353791868654,3999.999993951532
741010807.0,501.4990341190796,3968.43767641036,-1.2562604788702174,7.20239837651522,3999.999859096951
741010827.0,509.81249276986796,3967.3781755921236,-1.2557285799719011,7.322443092106172,3999.999795743609
741010847.0,518.1231922875888,3966.3011916487276,-1.2560496189919377,7.44248053390263,3999.9995981575294
741010867.0,526.4317079705304,3965.206857082184,-1.255938499090007,7.562519160080306,3999.999470326007
741010887.0,534.7382824650942,3964.096154169609,-1.256383275520193,7.682561054723967,4000.0004187794784
741010907.0,543.0424304761505,3962.9664091803697,-1.2561128651320814,7.802604960223091,3999.999730198666
741010927.0,551.3438193547877,3961.8198902436625,-1.2559903639621552,7.922642353417543,3999.9996062338596
