# cfgfile = prep/Shapes_garpos.shapes-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
10,S01,L01,M12,3.6782428,-4.5414712300310013e-08,47.32725948977813,-1.0672801309622873e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.6782428,9.00982,499.91882,0.0,0.52,1.1,1.62,-0.016462585246315664,3.343804201454191e-05,0.00041785470998648296,-0.0001349845960336067,-0.00024781233495199955,-0.015827834651116975,-1.2346850208899696e-08
11,S01,L01,M13,3.1149274,1.3791354002838162e-08,36.77947064620747,-1.106693491240317e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.1149274,9.00982,499.91882,0.0,-0.58,-3.54,0.37,-0.016462590245316048,3.343619114911457e-05,0.00041786188075284875,-0.00013499423929009714,-0.0002478155031467717,-0.016412337380464232,4.427504141091276e-09
12,S01,L01,M11,3.3406689,5.890947806380878e-08,41.61487869645529,-1.1138613824473264e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.3406689,12.01258,499.85568,0.0,0.89,0.13,5.08,-0.016462055963214643,3.363407280441468e-05,0.0004170952237032853,-0.00013396338590419826,-0.0002474770138610377,-0.01651863767926156,1.76340369528738e-08
13,S01,L01,M12,3.6789617,-2.2228071987174242e-08,47.337566270177234,-1.0673318791535954e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.6789617,12.01258,499.85568,0.0,-0.81,-0.44,-2.22,-0.016462052963484165,3.3635184322005425e-05,0.0004170909172605733,-0.0001339575966289822,-0.00024747511442094465,-0.015828602080203077,-6.041941724710398e-09
14,S01,L01,M13,3.1169267,1.634981297145639e-08,36.82861877572688,-1.1067283193768321e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.1169267,12.01258,499.85568,0.0,1.04,0.25,1.73,-0.016462057947211124,3.363333766214387e-05,0.00041709807192378683,-0.0001339672148641362,-0.0002474782701475975,-0.016412853884023117,5.245491652150491e-09
15,S01,L01,M11,3.3379874,3.1926764030186636e-08,41.563046596390535,-1.1137293466952928e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.3379874,15.01492,499.7745,0.0,-0.95,-4.46,2.64,-0.016461524173258885,3.383120413010368e-05,0.00041633145113237807,-0.00013293683099101767,-0.0002471404641997373,-0.016516679580360814,9.56467488544277e-09
16,S01,L01,M12,3.6796055,-4.808249914701585e-08,47.34683456235902,-1.0673840033756591e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.6796055,15.01492,499.7745,0.0,-0.22,0.41,1.64,-0.01646152114703352,3.3832326575113236e-05,0.0004163271022087473,-0.00013293098743004253,-0.00024713855048741205,-0.015829375085850056,-1.3067297244262477e-08
17,S01,L01,M13,3.1190089,5.155760150933243e-09,36.8796994632672,-1.1067636265268394e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.1190089,15.01492,499.7745,0.0,-4.96,1.53,-2.26,-0.016461526113100318,3.383048463869206e-05,0.00041633423880759976,-0.00013294057675319464,-0.0002471416909263373,-0.016413377491383642,1.6530123381208739e-09
18,S01,L01,M11,3.3352836,5.1850959889936206e-09,41.510645291776484,-1.1135978368117838e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.3352836,18.01671,499.67529,0.0,1.55,-0.8,-1.0,-0.01646099295611326,3.402833568846e-05,0.0004155676502150984,-0.00013191079331750468,-0.00024680477912840935,-0.016514729280124932,1.554619211141528e-09
19,S01,L01,M12,3.6802883,-2.897779186952727e-08,47.356615146048,-1.0674364838038764e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.6802883,18.01671,499.67529,0.0,-1.07,0.35,0.27,-0.01646098990352851,3.402946926252457e-05,0.000415563257998079,-0.0001319048952162361,-0.00024680285209265166,-0.015830153374057757,-7.873783181011618e-09
20,S01,L01,M13,3.1210933,8.008486327491282e-09,36.93068584099413,-1.1067994254044153e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.1210933,18.01671,499.67529,0.0,-0.75,-0.14,-0.52,-0.016460994851281475,3.4027631928273386e-05,0.0004155703770472778,-0.00013191445507520493,-0.000246805975531957,-0.016413908391096407,2.5659233626740274e-09
21,S01,L01,M11,3.3326385,9.860378359876182e-09,41.459207615072245,-1.1134668742686451e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.3326385,21.01785,499.55805,0.0,-2.64,1.02,-0.12,-0.016460462418618982,3.422546785962077e-05,0.0004148038145397257,-0.00013088540020815136,-0.00024647016774107704,-0.016512787096982798,2.9587302607936294e-09
