# cfgfile = res//lambda/Shapes_garpos.shapes_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
12,S01,L01,M11,3.3406689,1.5090383637719542e-07,41.614920229246536,-1.1529752549396379e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.3406689,12.01258,499.85568,0.0,0.89,0.13,5.08,-0.016913543408539743,-0.00013373018042224792,0.0005736105581574307,-0.0002381906463934282,-0.00043121346377617903,-0.017098698985017334,4.5171743401350994e-08
13,S01,L01,M12,3.6789617,-1.226732252374726e-07,47.33756953467528,-1.0712171165303876e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.6789617,12.01258,499.85568,0.0,-0.81,-0.44,-2.22,-0.016913540191105456,-0.0001337282167337991,0.0005736050210304094,-0.00023819180468493567,-0.00043121524474581973,-0.015886220406447715,-3.334452391978715e-08
14,S01,L01,M13,3.1169267,9.705318330166283e-08,36.82863834970658,-1.1396564716942781e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.1169267,12.01258,499.85568,0.0,1.04,0.25,1.73,-0.016913545536506952,-0.0001337314791784803,0.0005736142203361973,-0.00023818988031960173,-0.00043121228587661913,-0.016901180552090493,3.113746094296488e-08
15,S01,L01,M11,3.3379874,1.2081342472696273e-07,41.5630881461133,-1.1530263273495613e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.3379874,15.01492,499.7745,0.0,-0.95,-4.46,2.64,-0.016912972798407713,-0.00013338191394650134,0.000572628530247163,-0.00023839612910725352,-0.00043152944794602245,-0.01709945639222098,3.61934935910746e-08
16,S01,L01,M12,3.6796055,-1.4548089337374642e-07,47.346837816343054,-1.0712038458679395e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.6796055,15.01492,499.7745,0.0,-0.22,0.41,1.64,-0.01691296954951004,-0.00013337993095533201,0.0005726229386832977,-0.0002383972995470496,-0.0004315312481020594,-0.015886023601649382,-3.953708960224844e-08
17,S01,L01,M13,3.1190089,8.419548510064069e-08,36.87971904244253,-1.139692008430512e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.1190089,15.01492,499.7745,0.0,-4.96,1.53,-2.26,-0.01691297488096425,-0.00013338318505120916,0.0005726321144603267,-0.00023839537885614613,-0.00043152829405063316,-0.016901707564229887,2.6994307650296534e-08
18,S01,L01,M11,3.3352836,9.094649066691146e-08,41.51068685961013,-1.1530779609395419e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.3352836,18.01671,499.67529,0.0,1.55,-0.8,-1.0,-0.016912402219257834,-0.0001330336475776068,0.0005716465011640561,-0.0002386017608320424,-0.0004318457596946871,-0.017100222121761845,2.7267993085722253e-08
19,S01,L01,M12,3.6802883,-1.2331981530865845e-07,47.35661838924827,-1.071191078738809e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.6802883,18.01671,499.67529,0.0,-1.07,0.35,0.27,-0.01691239893834585,-0.00013303164492866937,0.000571640854160758,-0.00023860294384344354,-0.00043184757982065326,-0.01588583426428332,-3.3508194552389625e-08
20,S01,L01,M13,3.1210933,8.538292901987389e-08,36.93070542528642,-1.139728102173664e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.1210933,18.01671,499.67529,0.0,-0.75,-0.14,-0.52,-0.016912404256157497,-0.00013303489088817766,0.0005716500070100626,-0.00023860102638568754,-0.00043184462971392436,-0.01690224283681857,2.735673676479422e-08
21,S01,L01,M11,3.3326385,9.249000112947234e-08,41.45924919973382,-1.1531301561686394e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.3326385,21.01785,499.55805,0.0,-2.64,1.02,-0.12,-0.016911831675106216,-0.00013268538084030909,0.0005706644693445896,-0.00023880757641492876,-0.0004321624739209533,-0.017100996180447813,2.7752785458634577e-08
22,S01,L01,M12,3.6809088,-1.0493752604980025e-07,47.36550553548679,-1.0711788024661337e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.6809088,21.01785,499.55805,0.0,2.95,0.49,1.92,-0.016911828363360214,-0.00013268335923478794,0.0005706587688775613,-0.000238808771803063,-0.0004321643138528081,-0.015885652206350825,-2.850859137648598e-08
23,S01,L01,M13,3.123183,9.14471715848853e-08,36.981682611599155,-1.139764752281387e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.123183,21.01785,499.55805,0.0,-1.33,0.7,-1.26,-0.016911833666845802,-0.0001326865966669674,0.0005706678976987263,-0.00023880685749607923,-0.00043216136737141744,-0.01690278636033049,2.928011949565601e-08
24,S01,L01,M11,3.3300113,7.099075036772867e-08,41.40805562557364,-1.153182913439964e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.3300113,24.01823,499.42279,0.0,-0.16,1.48,-0.8,-0.016911261171125673,-0.00013233711396537447,0.0005696824352160573,-0.0002390136102862965,-0.0004324796648826105,-0.017101778574257036,2.1318471432607566e-08
25,S01,L01,M12,3.6815745,-1.0441648576089326e-07,47.375051139121865,-1.0711670042078983e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.6815745,24.01823,499.42279,0.0,-0.12,1.89,2.84,-0.016911257828319426,-0.0001323350732454688,0.0005696766808388278,-0.00023901481836922098,-0.0004324815252488659,-0.015885477237403963,-2.836191026478474e-08
26,S01,L01,M13,3.1252337,6.683371362593038e-08,37.03163144306211,-1.139801958093586e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.1252337,24.01823,499.42279,0.0,0.22,-1.2,0.96,-0.016911263118235792,-0.000132338302638346,0.0005696857870099621,-0.00023901290661350807,-0.00043247858127911753,-0.0169033381249764,2.1385189147293815e-08
27,S01,L01,M11,3.327359,5.696525408876102e-08,41.35622896883194,-1.153236233142538e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.327359,27.01775,499.26951,0.0,-2.46,-0.9,0.76,-0.016910690712510647,-0.0001319888471968305,0.0005687003992431508,-0.00023921989686813297,-0.0004327974068241649,-0.01710256930895874,1.712026098665831e-08
