# cfgfile = res//lambda/Shapes_garpos.shapes_L-02.0_T0.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M11,3.3512623,7.058163068266395e-08,41.818546164546575,-1.1502951106035609e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.3512623,0.0,500.0,0.0,1.56,-2.73,0.4,-0.0169168470907752,-6.19053080037935e-05,0.0005579880189255099,-0.00020520509386567356,-0.0004556290146866981,-0.017058952267954113,2.1061207278183502e-08
1,S01,L01,M12,3.6761267,-9.277354938256712e-08,47.29678986566083,-1.0705608520667876e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.6761267,0.0,500.0,0.0,3.22,4.05,1.78,-0.016916843274024367,-6.190379744635123e-05,0.0005579825143190833,-0.0002052050922666258,-0.0004556293729380054,-0.015876487961219956,-2.5236766287850543e-08
2,S01,L01,M13,3.1088489,6.145745233872855e-08,36.629304525183215,-1.1448983057712158e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.1088489,0.0,500.0,0.0,0.21,-0.84,-2.76,-0.016916849938830997,-6.190643518018403e-05,0.0005579921264570744,-0.0002052050950576802,-0.0004556287473577032,-0.016978917296766472,1.976855551477641e-08
3,S01,L01,M11,3.3486148,5.8679513850398587e-08,41.767876250181615,-1.1502954525072721e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.3486148,3.00342,499.99098,0.0,1.9,0.18,2.63,-0.016916142200951313,-6.162633171586693e-05,0.0005569714041272127,-0.00020520479071817245,-0.0004556951640550955,-0.017058957338408672,1.7523518747175615e-08
4,S01,L01,M12,3.6768211,-1.2546134301196547e-07,47.306814530159016,-1.0705539250058342e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.6768211,3.00342,499.99098,0.0,0.06,-0.56,3.34,-0.01691613834499537,-6.162480561903259e-05,0.0005569658428904709,-0.00020520478904708836,-0.00045569552589935493,-0.015876385232449684,-3.412223237297951e-08
5,S01,L01,M13,3.1108611,4.3231741877686355e-08,36.6791683420642,-1.1449034823955428e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.1108611,3.00342,499.99098,0.0,-0.87,-1.22,-1.97,-0.016916144994218726,-6.162743722532907e-05,0.0005569754327049932,-0.00020520479192911268,-0.00045569490193485144,-0.01697899406644626,1.3897033884768817e-08
6,S01,L01,M11,3.34592,1.0173184020902047e-07,41.71610215582021,-1.1502963581391592e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.34592,6.00672,499.96392,0.0,0.31,-0.2,-4.28,-0.016915437324897493,-6.134735566339581e-05,0.0005559547894691489,-0.00020520449591476288,-0.00045576133281364367,-0.01705897076898922,3.040474338966703e-08
7,S01,L01,M12,3.6775592,-1.0929379769589939e-07,47.31741827713668,-1.0705475582421309e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.6775592,6.00672,499.96392,0.0,4.69,-1.18,-1.98,-0.016915433428700277,-6.134581360425908e-05,0.0005559491700596405,-0.00020520449440319092,-0.0004557616988071623,-0.015876290812924545,-2.9719112781823043e-08
8,S01,L01,M13,3.1128501,5.749554670799974e-08,36.728287492473584,-1.1449092225674975e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.1128501,6.00672,499.96392,0.0,0.08,0.94,0.07,-0.01691544006307413,-6.134843939427227e-05,0.0005559587386870437,-0.00020520449697900296,-0.00045576107560402435,-0.016979079193574494,1.8470387247448983e-08
9,S01,L01,M11,3.3432756,6.407721677736445e-08,41.665260080225465,-1.1502978293744532e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.3432756,9.00982,499.91882,0.0,1.91,3.06,0.26,-0.01691473246707391,-6.106837937837021e-05,0.0005549381730183532,-0.00020520425163510472,-0.0004558276039183136,-0.01705899258750555,1.916599889906223e-08
10,S01,L01,M12,3.6782428,-1.2732942571008e-07,47.32726179893291,-1.0705417385070679e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.6782428,9.00982,499.91882,0.0,0.52,1.1,1.62,-0.016914728531901697,-6.10668218449061e-05,0.0005549324972129402,-0.00020520425052263002,-0.0004558279744152433,-0.015876204505870174,-3.461691744366391e-08
11,S01,L01,M13,3.1149274,5.3234178149259655e-08,36.77949010305363,-1.144915526278998e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.1149274,9.00982,499.91882,0.0,-0.58,-3.54,0.37,-0.01691473514969473,-6.106944115409333e-05,0.0005549420422336668,-0.0002052042523968809,-0.00045582735135611327,-0.016979172678031316,1.70900220641812e-08
12,S01,L01,M11,3.3406689,1.0882518697140773e-07,41.614913429392374,-1.1502998680954736e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.3406689,12.01258,499.85568,0.0,0.89,0.13,5.08,-0.016914027633234824,-6.0789402904952704e-05,0.0005539215547082624,-0.00020520410005956736,-0.00045589406020393264,-0.017059022821872587,3.257586778104837e-08
