# cfgfile = res//lambda/Shapes_garpos.shapes_L-01.0_T0.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M11,3.3512623,1.300128677892939e-08,41.81851168178116,-1.1139651136970032e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.3512623,0.0,500.0,0.0,1.56,-2.73,0.4,-0.016461931412794895,3.165655725374819e-05,0.00042120603235479693,-0.00013561231267571297,-0.0002510901045968829,-0.016520176020527744,3.879519261396069e-09
1,S01,L01,M12,3.6761267,-3.247071417380382e-09,47.29678761871838,-1.0668002114244311e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.6761267,0.0,500.0,0.0,3.22,4.05,1.78,-0.016461928506672188,3.1657634705429895e-05,0.0004212018930970005,-0.00013560674881139552,-0.00025108827744788455,-0.015820717412755026,-8.832860554086608e-10
2,S01,L01,M13,3.1088489,1.9884880212644892e-08,36.6292848762983,-1.10678519636184e-05,False,1000,0.0,500.0,0.0,-0.52,-0.33,2.55,1003.1088489,0.0,500.0,0.0,0.21,-0.84,-2.76,-0.016461933581342195,3.1655753260416133e-05,0.00042120912106457414,-0.00013561646442090955,-0.00025109146800701406,-0.01641369737345765,6.396219554005711e-09
3,S01,L01,M11,3.3486148,3.042251092555987e-09,41.76784175513231,-1.1138311866220024e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.3486148,3.00342,499.99098,0.0,1.9,0.18,2.63,-0.016461394730603027,3.18555456052091e-05,0.000420441574625476,-0.00013458471992289006,-0.0002507526132453434,-0.0165181898731828,9.085103225281443e-10
4,S01,L01,M12,3.6768211,-3.847587669503999e-08,47.30681229044151,-1.0668506974104643e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.6768211,3.00342,499.99098,0.0,0.06,-0.56,3.34,-0.01646139179510491,3.1856634139827496e-05,0.0004204373927600721,-0.00013457909852381537,-0.00025075076694081207,-0.015821466123253754,-1.0464440869384362e-08
5,S01,L01,M13,3.1108611,2.3571943772268496e-09,36.679148689466246,-1.106818738067058e-05,False,1030,3.00342,499.99098,0.0,-1.91,0.25,0.86,1033.1108611,3.00342,499.99098,0.0,-0.87,-1.22,-1.97,-0.01646139685709287,3.1854757067220515e-05,0.00042044460398196537,-0.00013458879208283223,-0.00025075395071572017,-0.016414194799155655,7.577305172201676e-10
6,S01,L01,M11,3.34592,4.797275698224678e-08,41.71606764853777,-1.1136976992929573e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.34592,6.00672,499.96392,0.0,0.31,-0.2,-4.28,-0.01646085819125825,3.2054533648890094e-05,0.0004196771103919869,-0.0001335571299966276,-0.00025041514845434586,-0.016516210247299348,1.4337687814780509e-08
7,S01,L01,M12,3.6775592,-2.4847179812268602e-08,47.317416044722336,-1.0669016197843333e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.6775592,6.00672,499.96392,0.0,4.69,-1.18,-1.98,-0.016460855226177434,3.205563356865129e-05,0.0004196728847299954,-0.00013355145021041459,-0.0002504132836338458,-0.01582222130541283,-6.7564322470126115e-09
8,S01,L01,M13,3.1128501,1.7300016271505335e-08,36.728267836311886,-1.1068527208633844e-05,False,1060,6.00672,499.96392,0.0,-0.45,2.83,1.61,1063.1128501,6.00672,499.96392,0.0,0.08,0.94,0.07,-0.01646086027507203,3.2053760645455835e-05,0.0004196800801092583,-0.00013356112165124412,-0.0002504164590250487,-0.01641469876626385,5.557613036444309e-09
9,S01,L01,M11,3.3432756,1.2225371158186324e-08,41.665225561252555,-1.1135646731904874e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.3432756,9.00982,499.91882,0.0,1.91,3.06,0.26,-0.016460321901581334,3.225352182236218e-05,0.00041891263302361054,-0.00013252966990140094,-0.0002500779192618098,-0.016514237461436394,3.656704550270007e-09
10,S01,L01,M12,3.6782428,-4.541642192866939e-08,47.327259573715764,-1.0669529585535089e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.6782428,9.00982,499.91882,0.0,0.52,1.1,1.62,-0.016460318908480383,3.2254632779773465e-05,0.00041890836487121187,-0.00013252393425245673,-0.00025007603770192384,-0.015822982662741736,-1.2347315003768955e-08
11,S01,L01,M13,3.1149274,1.3799510837527398e-08,36.77947044293748,-1.1068871576335348e-05,False,1090,9.00982,499.91882,0.0,-3.68,-1.69,-0.79,1093.1149274,9.00982,499.91882,0.0,-0.58,-3.54,0.37,-0.016460323942001177,3.225276447901655e-05,0.00041891554263659403,-0.0001325335799218222,-0.0002500792019437637,-0.016415209465833764,4.4301227686283084e-09
12,S01,L01,M11,3.3406689,5.890878728351522e-08,41.61487889893189,-1.1134321300172436e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.3406689,12.01258,499.85568,0.0,0.89,0.13,5.08,-0.016459785969378707,3.245251019787397e-05,0.0004181481372930768,-0.00013150246852871035,-0.0002497411353260155,-0.016512271837445674,1.7633830173835463e-08
13,S01,L01,M12,3.6789617,-2.222961121892013e-08,47.33756635408977,-1.0670046938906471e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.6789617,12.01258,499.85568,0.0,-0.81,-0.44,-2.22,-0.016459782948919567,3.245363218605818e-05,0.0004181438266470732,-0.0001314966778039294,-0.00024973923826046915,-0.01582374990119965,-6.042360112257228e-09
