# cfgfile = res//lambda/Shapes_garpos.shapes_L-01.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
14,S01,L01,M13,3.1169267,2.5873633166166e-08,36.82861707657858,-1.1058343697149666e-05,False,1120,12.01258,499.85568,0.0,1.79,3.02,0.52,1123.1169267,12.01258,499.85568,0.0,1.04,0.25,1.73,-0.016470531816063907,2.283976724224101e-05,0.00044218378298993436,-0.00015028450304764498,-0.000254806117655826,-0.01639959655164715,8.301007908828595e-09
15,S01,L01,M11,3.3379874,4.275314909075068e-08,41.563047680866646,-1.1153675734139415e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.3379874,15.01492,499.7745,0.0,-0.95,-4.46,2.64,-0.01647001992187304,2.3065490819575667e-05,0.00044139403992424057,-0.00014933554948810024,-0.00025460045685603825,-0.016540974590519425,1.2808061944369342e-08
16,S01,L01,M12,3.6796055,-5.770441409044809e-08,47.34683452369029,-1.0658500256438987e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.6796055,15.01492,499.7745,0.0,-0.22,0.41,1.64,-0.016470017018620876,2.3066771290546912e-05,0.00044138955989131727,-0.0001493301674478885,-0.0002545992925698258,-0.01580662609503458,-1.5682228349245264e-08
17,S01,L01,M13,3.1190089,1.4366624421320129e-08,36.87969776784931,-1.1058791818571753e-05,False,1150,15.01492,499.7745,0.0,-0.18,-0.63,0.89,1153.1190089,15.01492,499.7745,0.0,-4.96,1.53,-2.26,-0.016470021782875,2.3064670032934248e-05,0.0004413969116416663,-0.00014933899940899607,-0.0002546012031953628,-0.016400261118668186,4.6061505443173445e-09
18,S01,L01,M11,3.3352836,1.556797079945852e-08,41.5106463769329,-1.115251179588565e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.3352836,18.01671,499.67529,0.0,1.55,-0.8,-1.0,-0.016469510120288855,2.3290375948442613e-05,0.0004406072217972477,-0.0001483905016478002,-0.00025439635799447363,-0.016539248462421444,4.667660258306228e-09
19,S01,L01,M12,3.6802883,-3.816312176737048e-08,47.35661510692651,-1.065891483590251e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.6802883,18.01671,499.67529,0.0,-1.07,0.35,0.27,-0.016469507189424047,2.3291669114680097e-05,0.0004406026972948817,-0.00014838506875029437,-0.00025439518735926794,-0.0158072409191101,-1.0369601233239933e-08
20,S01,L01,M13,3.1210933,1.6906661485246943e-08,36.93068414927626,-1.1059244826842924e-05,False,1180,18.01671,499.67529,0.0,2.85,0.7,-3.18,1183.1210933,18.01671,499.67529,0.0,-0.75,-0.14,-0.52,-0.016469511939873616,2.3289573108163994e-05,0.0004406100307573228,-0.00014839387458597311,-0.0002543970847966268,-0.016400932932918603,5.4169035090811946e-09
21,S01,L01,M11,3.3326385,1.980630710207472e-08,41.45920870077927,-1.115135299556096e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.3326385,21.01785,499.55805,0.0,-2.64,1.02,-0.12,-0.016469000531254937,2.3515261641816866e-05,0.00043982039225279996,-0.00014744592969351259,-0.00025419324508614506,-0.01653752995390613,5.943130987340339e-09
22,S01,L01,M12,3.6809088,-2.239096538924751e-08,47.36550226329453,-1.065933278007229e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.6809088,21.01785,499.55805,0.0,2.95,0.49,1.92,-0.016468997573958512,2.3516567050956507e-05,0.0004398158248574862,-0.0001474404484560546,-0.00025419206971209827,-0.015807860733067162,-6.082999159939817e-09
23,S01,L01,M13,3.123183,2.4329923471481457e-08,36.981661334162254,-1.1059702796094158e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.123183,21.01785,499.55805,0.0,-1.33,0.7,-1.26,-0.016469002309829124,2.351447654740082e-05,0.00043982313915873737,-0.0001474492262182862,-0.00025419395201384547,-0.016401612104335137,7.79010497775623e-09
24,S01,L01,M11,3.3300113,1.0261099060027439e-09,41.40801511018614,-1.1150199453333576e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.3300113,24.01823,499.42279,0.0,-0.16,1.48,-0.8,-0.016468491177906087,2.374014781566567e-05,0.00043903355068499253,-0.00014650193192939653,-0.0002539913077898926,-0.016535819243183758,3.081400690163605e-10
25,S01,L01,M12,3.6815745,-2.4461959414573474e-08,47.3750478769573,-1.0659753859800177e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.6815745,24.01823,499.42279,0.0,-0.12,1.89,2.84,-0.016468488194105485,2.3741465570024504e-05,0.0004390289400323811,-0.0001464964025546319,-0.000253990128815257,-0.015808485197077556,-6.644428729440932e-09
26,S01,L01,M13,3.1252337,1.0442817861491338e-09,37.03161016428845,-1.1060165799965837e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.1252337,24.01823,499.42279,0.0,0.22,-1.2,0.96,-0.01646849291591036,2.3739380253711003e-05,0.0004390362362849573,-0.0001465051526859991,-0.000253991994559377,-0.016402298742126956,3.3414518374463853e-10
27,S01,L01,M11,3.327359,-1.0365827687594047e-08,41.35618843778488,-1.1149051289294614e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.327359,27.01775,499.26951,0.0,-2.46,-0.9,0.76,-0.01646798208339589,2.3965034377392207e-05,0.0004382466965179119,-0.00014555860669411547,-0.00025379073576928095,-0.016534116508350245,-3.1153319368648624e-09
28,S01,L01,M12,3.6821877,-3.9559081233985016e-08,47.38384801606895,-1.0660177844351302e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.6821877,27.01775,499.26951,0.0,-1.04,2.06,1.24,-0.016467979073485774,2.3966364374650902e-05,0.0004382420429594971,-0.0001455530302596693,-0.0002537895545469943,-0.015809113968959947,-1.0743363698662023e-08
