ST,east,north,up,azimuth,distance
741009607.0,2500.0000987225026,-0.0002670157043820065,-0.48872970279873484,90.00000611954893,2500.0000987225167
741009627.0,2499.933817565618,10.47829895248859,-0.4889733110812209,89.75985012621817,2499.955777000294
741009647.0,2499.7360511170764,20.95560148165506,-0.48936442485583065,89.51969353070268,2499.823886294363
741009667.0,2499.4071320251396,31.428663262929227,-0.4897449787565158,89.2795752088015,2499.604723249784
741009687.0,2498.9459996956275,41.896096421472535,-0.4887189262272713,89.03949719943049,2499.297179666743
741009707.0,2498.3534720739917,52.356179021747,-0.4888093444818047,88.79946968905922,2498.9020070634874
741009727.0,2497.629881808381,62.80735211393316,-0.48844810651421966,88.55949915735108,2498.419458373976
741009747.0,2496.7749862504475,73.24721506495302,-0.4880572152084781,88.31961111512173,2497.849172083994
741009767.0,2495.78936069642,83.67448202105959,-0.48776163074477097,88.07980604549648,2497.1916129738497
741009787.0,2494.672762498218,94.08746152865847,-0.48727832514730807,87.84009323374922,2496.4464028629573
741009807.0,2493.4257669521844,104.48415855668998,-0.48743728767679784,87.60048961074497,2495.6139514537076
741009827.0,2492.04928200281,114.86101912097217,-0.4875003838706249,87.36104843995406,2494.694906725916
741009847.0,2490.5419144086814,125.21892347588988,-0.48693466323879875,87.12171894718645,2493.6877924517576
741009867.0,2488.906208004163,135.55512883864196,-0.485817968005577,86.8825378387879,2492.5948939200134
741009887.0,2487.1413448448334,145.86710207495202,-0.4858573960718502,86.64353346747416,2491.415116094528
741009907.0,2485.2484755229952,156.154399012684,-0.48518778135463947,86.40468874450083,2490.149429536385
741009927.0,2483.2273573912175,166.41390984130175,-0.48493615435100423,86.16604606357916,2488.797239207091
741009947.0,2481.0791410414217,176.64448120938982,-0.4839423787220767,85.92760506977167,2487.3594386120744
741009967.0,2478.803826474144,186.8446947615308,-0.48361651051118315,85.6893699179478,2485.8357447955786
741009987.0,2476.402564282562,197.01268796956282,-0.4835034430294485,85.45135705246706,2484.2269742530048
741010007.0,2473.875687114711,207.14619270345693,-0.4827400794005996,85.2135911008273,2482.533073384687
741010027.0,2471.2231949700567,217.24449978598003,-0.4820314487851647,84.97606027749923,2480.7537669114354
741010047.0,2468.446813738695,227.30446083396015,-0.4810474034039487,84.73881254155013,2478.8902739273744
741010067.0,2465.547361365697,237.32648144894415,-0.4801959304804484,84.50181270742668,2476.9432068447363
741010087.0,2462.5237772573764,247.30775539789698,-0.47949104463235415,84.26509544543607,2474.9110043470014
