depth,speed
1468.0,1481.91385769
1472.0,1481.9247157
1476.0,1481.93598846
1480.0,1481.94767475
1484.0,1481.9597719
1488.0,1481.97227583
1492.0,1481.98518093
1496.0,1481.99848009
1500.0,1482.01216464
1504.0,1482.03984303
1508.0,1482.05300549
1512.0,1482.06616794
1516.0,1482.07933039
1520.0,1482.09249285
1524.0,1482.1056553
1528.0,1482.11881775
1532.0,1482.13198021
1536.0,1482.14514266
1540.0,1482.15830511
1544.0,1482.17146757
1548.0,1482.18463002
1552.0,1482.19779248
1556.0,1482.21095493
1560.0,1482.22411738
1564.0,1482.23727984
1568.0,1482.25044229
1572.0,1482.26360474
1576.0,1482.2767672
1580.0,1482.28992965
1584.0,1482.3030921
1588.0,1482.31625456
1592.0,1482.32941701
1596.0,1482.34257947
1600.0,1482.35574192
1604.0,1482.36890437
1608.0,1482.38206683
1612.0,1482.39522928
1616.0,1482.40839173
1620.0,1482.42155419
1624.0,1482.43471664
1628.0,1482.44787909
1632.0,1482.46104155
1636.0,1482.474204
1640.0,1482.48736646
1644.0,1482.50052891
1648.0,1482.51369136
1652.0,1482.52685382
1656.0,1482.54001627
1660.0,1482.55317872
1664.0,1482.56634118
1668.0,1482.57950363
1672.0,1482.59266609
1676.0,1482.60582854
1680.0,1482.61899099
1684.0,1482.63215345
1688.0,1482.6453159
1692.0,1482.65847835
1696.0,1482.67164081
1700.0,1482.68480326
1704.0,1482.69796571
1708.0,1482.71112817
1712.0,1482.72429062
1716.0,1482.73745308
1720.0,1482.75061553
1724.0,1482.76377798
1728.0,1482.77694044
1732.0,1482.79010289
1736.0,1482.80326534
1740.0,1482.8164278
1744.0,1482.82959025
1748.0,1482.8427527
1752.0,1482.85591516
1756.0,1482.86907761
1760.0,1482.88224007
1764.0,1482.89540252
1768.0,1482.90856497
1772.0,1482.92172743
1776.0,1482.93488988
1780.0,1482.94805233
1784.0,1482.96121479
1788.0,1482.97437724
1792.0,1482.98753969
1796.0,1483.00070215
1800.0,1483.0138646
1804.0,1483.02702706
1808.0,1483.04018951
1812.0,1483.05335196
1816.0,1483.06651442
1820.0,1483.07967687
1824.0,1483.09283932
1828.0,1483.10600178
1832.0,1483.11916423
1836.0,1483.13232668
1840.0,1483.14548914
1844.0,1483.15865159
1848.0,1483.17181405
1852.0,1483.1849765
1856.0,1483.19813895
1860.0,1483.21130141
1864.0,1483.22446386
1868.0,1483.23762631
1872.0,1483.25078877
1876.0,1483.26395122
1880.0,1483.27711368
