,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.351262335078804,0.0,0.0,0.0,FALSE,1000,0.0,500.0,0.0,-0.520816681262481,-0.3342128704407572,2.554608850190633,1003.3512623350788,0.0,500.0,0.0,1.5631804418315807,-2.7277175220140855,0.40283888842291
1,S01,L01,M12,3.6761266607770606,0.0,0.0,0.0,FALSE,1000,0.0,500.0,0.0,-0.520816681262481,-0.3342128704407572,2.554608850190633,1003.6761266607771,0.0,500.0,0.0,3.2165964384524797,4.0544122262264155,1.7819506937320553
2,S01,L01,M13,3.108848913760589,0.0,0.0,0.0,FALSE,1000,0.0,500.0,0.0,-0.520816681262481,-0.3342128704407572,2.554608850190633,1003.1088489137605,0.0,500.0,0.0,0.2064307951201407,-0.8434243252680009,-2.7620246981558596
3,S01,L01,M11,3.3486147786303686,0.0,0.0,0.0,FALSE,1030,3.0034165974015754,499.99097940737136,0.0,-1.91055941008118,0.2482928972375843,0.858563961815355,1033.3486147786305,3.0034165974015754,499.99097940737136,0.0,1.895053403620634,0.18327858261409716,2.627709679556083
4,S01,L01,M12,3.6768210719798913,0.0,0.0,0.0,FALSE,1030,3.0034165974015754,499.99097940737136,0.0,-1.91055941008118,0.2482928972375843,0.858563961815355,1033.67682107198,3.0034165974015754,499.99097940737136,0.0,0.061513699897701064,-0.559339329486742,3.3385089747901784
5,S01,L01,M13,3.1108610827428755,0.0,0.0,0.0,FALSE,1030,3.0034165974015754,499.99097940737136,0.0,-1.91055941008118,0.2482928972375843,0.858563961815355,1033.110861082743,3.0034165974015754,499.99097940737136,0.0,-0.8676722805413744,-1.2239760331448393,-1.9700347361807686
6,S01,L01,M11,3.3459200396867597,0.0,0.0,0.0,FALSE,1060,6.006724824412674,499.9639179549698,0.0,-0.4475405250286293,2.832785516646239,1.6138181504004332,1063.3459200396867,6.006724824412674,499.9639179549698,0.0,0.30623262430947445,-0.1958874530902402,-4.283892991003705
7,S01,L01,M12,3.6775592359791522,0.0,0.0,0.0,FALSE,1060,6.006724824412674,499.9639179549698,0.0,-0.4475405250286293,2.832785516646239,1.6138181504004332,1063.677559235979,6.006724824412674,499.9639179549698,0.0,4.693912639677696,-1.1787342815360755,-1.9783753174637693
8,S01,L01,M13,3.1128500955463547,0.0,0.0,0.0,FALSE,1060,6.006724824412674,499.9639179549698,0.0,-0.4475405250286293,2.832785516646239,1.6138181504004332,1063.1128500955463,6.006724824412674,499.9639179549698,0.0,0.07660184770082044,0.9428443012668076,0.0673799707567588
9,S01,L01,M11,3.343275616096361,0.0,0.0,0.0,FALSE,1090,9.00981631455308,499.9188166192367,0.0,-3.677730537803695,-1.6920889693767096,-0.7890705733109568,1093.3432756160964,9.00981631455308,499.9188166192367,0.0,1.9130952942485493,3.0634562637739013,0.25577334565874715
10,S01,L01,M12,3.6782427527609247,0.0,0.0,0.0,FALSE,1090,9.00981631455308,499.9188166192367,0.0,-3.677730537803695,-1.6920889693767096,-0.7890705733109568,1093.678242752761,9.00981631455308,499.9188166192367,0.0,0.5231107000699264,1.1005008933921079,1.6229110709270467
11,S01,L01,M13,3.1149274090659382,0.0,0.0,0.0,FALSE,1090,9.00981631455308,499.9188166192367,0.0,-3.677730537803695,-1.6920889693767096,-0.7890705733109568,1093.114927409066,9.00981631455308,499.9188166192367,0.0,-0.5826138524577023,-3.53615048990393,0.374844199848196
12,S01,L01,M11,3.340668856555184,0.0,0.0,0.0,FALSE,1120,12.012582709162954,499.85567702753514,0.0,1.791331512766629,3.020022720719533,0.5209002781061686,1123.340668856555,12.012582709162954,499.85567702753514,0.0,0.8937221295207105,0.13354712425293352,5.0847538474306955
13,S01,L01,M12,3.678961664967015,0.0,0.0,0.0,FALSE,1120,12.012582709162954,499.85567702753514,0.0,1.791331512766629,3.020022720719533,0.5209002781061686,1123.6789616649671,12.012582709162954,499.85567702753514,0.0,-0.8051249447752741,-0.43797115790233787,-2.220617357678672
14,S01,L01,M13,3.116926697377064,0.0,0.0,0.0,FALSE,1120,12.012582709162954,499.85567702753514,0.0,1.791331512766629,3.020022720719533,0.5209002781061686,1123.116926697377,12.012582709162954,499.85567702753514,0.0,1.0353916693418512,0.25189000321464666,1.7314184961936885
15,S01,L01,M11,3.3379873767354584,0.0,0.0,0.0,FALSE,1150,15.01491566131268,499.77450145809127,0.0,-0.17724769495106787,-0.627423978923662,0.8894779876475973,1153.3379873767356,15.01491566131268,499.77450145809127,0.0,-0.954747050634968,-4.459341525664619,2.642972291840642
16,S01,L01,M12,3.6796055257813682,0.0,0.0,0.0,FALSE,1150,15.01491566131268,499.77450145809127,0.0,-0.17724769495106787,-0.627423978923662,0.8894779876475973,1153.6796055257814,15.01491566131268,499.77450145809127,0.0,-0.2150652637587815,0.41439637941357627,1.6414881508049577
17,S01,L01,M13,3.1190088736991854,0.0,0.0,0.0,FALSE,1150,15.01491566131268,499.77450145809127,0.0,-0.17724769495106787,-0.627423978923662,0.8894779876475973,1153.1190088736992,15.01491566131268,499.77450145809127,0.0,-4.959257349730935,1.5312340635598967,-2.261079324595885
18,S01,L01,M11,3.3352836191869137,0.0,0.0,0.0,FALSE,1180,18.016706839712274,499.67529283991206,0.0,2.848121769040044,0.6965538722784134,-3.1796123605704536,1183.3352836191868,18.016706839712274,499.67529283991206,0.0,1.5482228276726906,-0.8018736087766569,-1.0021012583621232
