time,iso_string,NDP1-1,NDP1-2,NDP1-3
741009607.0,2023-06-26T00:00:07.000,-17.37674979440662,-8.648623629126106,-10.10575156830118
741009627.0,2023-06-26T00:00:27.000,-16.119128215863476,-9.192010487835134,-7.933195248455149
741009647.0,2023-06-26T00:00:47.000,-17.413978904268212,-8.302264109327773,-8.8199442805581
741009667.0,2023-06-26T00:01:07.000,-16.52752441978489,-7.625591192561565,-8.83152432131773
741009687.0,2023-06-26T00:01:27.000,-17.57664755495103,-7.075371956188903,-10.06868361939084
741009707.0,2023-06-26T00:01:47.000,-16.145402077349935,-7.057805189814026,-9.776620010792936
741009727.0,2023-06-26T00:02:07.000,-15.805923980849457,-6.0595427499032795,-9.642545168098149
741009747.0,2023-06-26T00:02:27.000,-17.64257596881258,-6.56912072878324,-8.84908210814217
741009767.0,2023-06-26T00:02:47.000,-15.852493331025563,-9.323261337623734,-8.2587636270115
741009787.0,2023-06-26T00:03:07.000,-15.85987277381573,-8.113405250176342,-9.978261183685166
741009807.0,2023-06-26T00:03:27.000,-15.012429812544248,-6.677197945226254,-7.821899565652046
741009827.0,2023-06-26T00:03:47.000,-15.593580345840685,-7.426604140392534,-8.469182081805027
741009847.0,2023-06-26T00:04:07.000,-15.82516755864738,-8.294373325234972,-9.635620148273905
741009867.0,2023-06-26T00:04:27.000,-15.869168186322113,-6.026194088404324,-8.11249638146272
741009887.0,2023-06-26T00:04:47.000,-15.714335696159765,-8.621384720197689,-8.704319751307033
741009907.0,2023-06-26T00:05:07.000,-15.452770907997682,-9.05487669897731,-8.524971600976095
741009927.0,2023-06-26T00:05:27.000,-15.268716020666595,-7.255187507904104,-7.304860181311934
741009947.0,2023-06-26T00:05:47.000,-16.149420976896423,-7.918218843006031,-10.53574915060862
741009967.0,2023-06-26T00:06:07.000,-16.961104091683943,-8.858649961918097,-9.370486036675008
741009987.0,2023-06-26T00:06:27.000,-18.066993422660715,-8.555122087083866,-8.12343172029717
741010007.0,2023-06-26T00:06:47.000,-15.405404010060408,-8.18241054485469,-8.62477599988809
741010027.0,2023-06-26T00:07:07.000,-16.485822637490877,-6.9457376658865755,-8.191722312245187
741010047.0,2023-06-26T00:07:27.000,-16.000283112038716,-8.840434412782372,-8.7027895478764
741010067.0,2023-06-26T00:07:47.000,-17.611764011826736,-7.169042026422545,-8.245198455125724
741010087.0,2023-06-26T00:08:07.000,-14.382781040223058,-7.35155157129963,-5.87504275578743
741010107.0,2023-06-26T00:08:27.000,-16.83716544700342,-8.673850145002326,-8.914068702681188
741010127.0,2023-06-26T00:08:47.000,-16.379707068359117,-7.991969390341858,-7.304882828063075
741010147.0,2023-06-26T00:09:07.000,-16.25911825795523,-7.516595572965024,-8.593819550783977
741010167.0,2023-06-26T00:09:27.000,-17.702434469502037,-7.804447775439094,-8.060916991470268
741010187.0,2023-06-26T00:09:47.000,-15.705240614671823,-6.099641007151213,-8.150020952713
741010207.0,2023-06-26T00:10:07.000,-17.00139676954482,-7.105140793584042,-9.456774060334627
741010227.0,2023-06-26T00:10:27.000,-16.061294727864883,-9.339691786425242,-7.824158069802412
741010247.0,2023-06-26T00:10:47.000,-15.99810030956661,-6.67484887102443,-8.236215015600123
741010267.0,2023-06-26T00:11:07.000,-16.441834629188357,-6.738138746431588,-7.416090054890301
741010287.0,2023-06-26T00:11:27.000,-16.58823772530127,-7.823506158377569,-7.6568395799059275
741010307.0,2023-06-26T00:11:47.000,-16.64130188030466,-6.856682890798993,-7.88379021992025
741010327.0,2023-06-26T00:12:07.000,-15.951087995924595,-7.550610352491383,-7.922766912626944
741010347.0,2023-06-26T00:12:27.000,-15.718055416824583,-7.088289756285171,-9.138049059642661
741010367.0,2023-06-26T00:12:47.000,-16.355655724309415,-6.541917112889983,-8.865035515503994
741010387.0,2023-06-26T00:13:07.000,-14.13952652735695,-7.750144609874887,-8.655981426863857
741010407.0,2023-06-26T00:13:27.000,-15.395962699926713,-8.538413086567331,-7.967130242803044
741010427.0,2023-06-26T00:13:47.000,-15.05047918632929,-6.995171756174479,-7.825311864961826
741010447.0,2023-06-26T00:14:07.000,-16.517002320792784,-6.818739062852686,-8.26815467545039
741010467.0,2023-06-26T00:14:27.000,-15.37021330990651,-7.365171380446789,-7.730984562825949
741010487.0,2023-06-26T00:14:47.000,-16.586207720203916,-8.073626710447535,-7.392051540544564
741010507.0,2023-06-26T00:15:07.000,-16.25472320136989,-6.835933316406972,-7.183072957406278
741010527.0,2023-06-26T00:15:27.000,-16.162214825143906,-6.248136095043932,-7.428264638831283
741010547.0,2023-06-26T00:15:47.000,-15.297757244892018,-7.158869559620307,-7.115854354922124
741010567.0,2023-06-26T00:16:07.000,-16.100698792742563,-5.692417812253048,-6.960379112375126
741010587.0,2023-06-26T00:16:27.000,-15.719928472335276,-6.7528763179280915,-8.243144203223807
741010607.0,2023-06-26T00:16:47.000,-15.169732327691143,-6.539362526414294,-8.52833026185884
741010627.0,2023-06-26T00:17:07.000,-15.602342045939466,-6.5929135089959345,-7.497944622747443
741010647.0,2023-06-26T00:17:27.000,-16.890969347471696,-6.459140659598184,-6.773315584074346
741010667.0,2023-06-26T00:17:47.000,-15.087720055584342,-7.52887644754896,-7.086014501700433
741010687.0,2023-06-26T00:18:07.000,-16.532372432043196,-6.2273779965371645,-6.60250675026397
741010707.0,2023-06-26T00:18:27.000,-16.123008725710264,-6.856763805673793,-8.250010891674986
741010727.0,2023-06-26T00:18:47.000,-16.374343743175146,-7.042122859579614,-7.569628061365741
741010747.0,2023-06-26T00:19:07.000,-15.451373530450674,-5.759201289134985,-7.003794641746719
741010767.0,2023-06-26T00:19:27.000,-15.439884357437705,-6.500647799856374,-6.944687433851904
741010787.0,2023-06-26T00:19:47.000,-15.653646371993624,-6.3340270314071745,-6.125395361666897
741010807.0,2023-06-26T00:20:07.000,-16.39385242631075,-8.344352155109647,-7.674886903541456
741010827.0,2023-06-26T00:20:27.000,-16.088980180395396,-6.8048847784663025,-6.135419571628997
741010847.0,2023-06-26T00:20:47.000,-16.272964136598844,-6.8185565637035594,-7.38084340062839
741010867.0,2023-06-26T00:21:07.000,-14.136160993705182,-7.436916910030789,-6.580078498441555
741010887.0,2023-06-26T00:21:27.000,-15.57969488559241,-6.274813428119863,-7.792672353768015
741010907.0,2023-06-26T00:21:47.000,-14.419020307143704,-6.733986356333155,-6.188114494221075
741010927.0,2023-06-26T00:22:07.000,-15.038174608172916,-7.392620817570084,-7.040228479493482
741010947.0,2023-06-26T00:22:27.000,-14.665206340436221,-6.272872947077346,-6.014419939681659
741010967.0,2023-06-26T00:22:47.000,-14.679547541796012,-6.718859526677612,-7.22388621291481
741010987.0,2023-06-26T00:23:07.000,-14.987771724639387,-6.1499872728409954,-7.0566313195130626
741011007.0,2023-06-26T00:23:27.000,-14.306439876765609,-6.354794843743683,-6.74501262416527
741011027.0,2023-06-26T00:23:47.000,-14.836842409793327,-6.121519591029134,-6.213238420593736
741011047.0,2023-06-26T00:24:07.000,-16.05681632754763,-6.246726868242014,-6.676009014139339
741011067.0,2023-06-26T00:24:27.000,-14.400212609344543,-7.633162598263965,-8.00555876503406
741011087.0,2023-06-26T00:24:47.000,-15.158216209965047,-7.609193133384373,-7.099430553103581
741011107.0,2023-06-26T00:25:07.000,-14.33099967722562,-5.362296074040707,-6.962830557721844
741011127.0,2023-06-26T00:25:27.000,-15.1228366127798,-5.190453519721139,-6.255711953884191
741011147.0,2023-06-26T00:25:47.000,-15.128722113066928,-4.788401158850597,-6.164768752081606
741011167.0,2023-06-26T00:26:07.000,-15.515011741151774,-5.684849597464847,-6.363296099043403
741011187.0,2023-06-26T00:26:27.000,-13.89576170256479,-5.55031351938684,-5.841568444930889
741011207.0,2023-06-26T00:26:47.000,-16.245701480066543,-7.096185344068751,-6.552766640932628
741011227.0,2023-06-26T00:27:07.000,-16.231505030184223,-7.876862722477895,-7.19666481727721
741011247.0,2023-06-26T00:27:27.000,-17.262091017400394,-6.6202492112976685,-5.39475276664092
741011267.0,2023-06-26T00:27:47.000,-14.839548818756931,-7.271016591481327,-5.883554627894583
