ST,east,north,up,azimuth,distance
741282167.0,-130.39234810511533,-345.46760211183425,-0.01081700492105142,-159.32162432054844,369.2560474159715
741282187.0,-127.96612097186836,-346.4943318035486,-0.0106263277841947,-159.72997310606655,369.36925980456806
741282207.0,-125.53410557476188,-347.5036474211113,-0.010931636629436525,-160.13797765339686,369.48287732103563
741282227.0,-123.09433337604148,-348.4955875349227,-0.010275752787066494,-160.54594740331692,369.59625192986334
741282247.0,-120.64795496915269,-349.4697079727529,-0.010523841113609933,-160.9537128297134,369.709353180035
741282267.0,-118.19439505699188,-350.4265854104038,-0.011095834665781013,-161.36140869357035,369.8225341772501
741282287.0,-115.73389628801988,-351.36649294413735,-0.01029864606707065,-161.76903295191212,369.9361392373941
741282307.0,-113.26736660672748,-352.2880041277057,-0.010985500236870394,-162.17640344361027,370.0490969997159
741282327.0,-110.79308012458293,-353.19213980724,-0.01071116068254696,-162.58384534089268,370.16184868933914
741282347.0,-108.31382332326865,-354.0792670133201,-0.010524819420226095,-162.9909841047217,370.27558878704696
741282367.0,-105.82796031367297,-354.947865364531,-0.010537421509951628,-163.39801265137928,370.38836956766016
741282387.0,-103.33491579853737,-355.7992207158311,-0.010873928555298562,-163.80509566723586,370.5012689385605
741282407.0,-100.83690096514869,-356.6328584142377,-0.010593404309361176,-164.21190429867107,370.6144577549086
741282427.0,-98.33309786763262,-357.4490820381007,-0.010808865118775657,-164.6185927054041,370.7279924501605
741282447.0,-95.82268856210304,-358.2460676297162,-0.010518241586680688,-165.02522960378607,370.83990159558743
741282467.0,-93.30730893751672,-359.02675392544467,-0.011020643850173428,-165.43171046415597,370.9534525185107
741282487.0,-90.7861410496067,-359.78860778962303,-0.010608974082146005,-165.83807725174233,371.06598564389367
741282507.0,-88.26057813924969,-360.532876505017,-0.010865370395947593,-166.24419072778417,371.1790466802463
741282527.0,-85.72922696530105,-361.2590219675601,-0.01091272368500995,-166.6502598281172,371.2917738235338
741282547.0,-83.19208752814173,-361.96704417612034,-0.010751032446080444,-167.0563060562058,371.40417942840577
741282567.0,-80.65055306815451,-362.65748123636763,-0.011257408135577407,-167.4621591185872,371.5171064795073
741282587.0,-78.10404828991422,-363.3294914652908,-0.01044172325688919,-167.86789729441827,371.62960286782874
741282607.0,-75.55372378583677,-363.98333987096277,-0.010874174023143723,-168.27337709671133,371.7421645193444
741282627.0,-72.99842896297044,-364.61947062361776,-0.010689592301304174,-168.67880614445147,371.8549838161499
741282647.0,-70.4373458765125,-365.23818730185263,-0.011000996831626253,-169.0843364815578,371.9682152518823
741282667.0,-67.8732610095559,-365.8377293999323,-0.01074249018648743,-169.48951558746356,372.0806684209345
741282687.0,-65.30478112030725,-366.4189771707314,-0.01044702173311407,-169.89460155197807,372.1929355428663
741282707.0,-62.73190620861162,-366.98263979208554,-0.010819618704914546,-170.29963368773446,372.3057211020718
741282727.0,-60.15602951641732,-367.527127833945,-0.010622305157909295,-170.70437953617164,372.4176923577195
741282747.0,-57.5751825057021,-368.0546074016101,-0.010512989326429079,-171.10921285065078,372.53066406689027
741282767.0,-54.99109106575942,-368.5626392924662,-0.011526848769420894,-171.51383264184494,372.64250855052916
741282787.0,-52.403665196675334,-369.05305555366147,-0.010402671994086177,-171.91831624725415,372.75501598172923
741282807.0,-49.81299489874473,-369.52473331600686,-0.011106698923555314,-172.32264502760364,372.86708488823245
741282827.0,-47.21874752332481,-369.97852235156597,-0.011365775238004971,-172.7269078963229,372.97951300188015
741282847.0,-44.620923071064325,-370.41442266091974,-0.011179901674182702,-173.13112384792143,373.09230934305833
741282867.0,-42.02067213426622,-370.83057171507073,-0.011004185761294139,-173.53510410472873,373.20376445735604
741282887.0,-39.41766206543035,-371.22994682194144,-0.010680560440306408,-173.93897234822754,373.3167897377855
741282907.0,-36.81140756725404,-371.60987425154565,-0.01148011085385292,-174.34277729735354,373.4286790919145
741282927.0,-34.20296923326889,-371.9710327016922,-0.011301762401956239,-174.7463902618126,373.5402150686527
741282947.0,-31.591771766978013,-372.3154172048269,-0.010975504271897307,-175.14994635803055,373.6533285436932
741282967.0,-28.9787231130272,-372.63947377736315,-0.01123947296932215,-175.55327952213247,373.76455665342536
741282987.0,-26.362915326657728,-372.94604722466,-0.010650503828316005,-175.95658559024562,373.87666073856343
741283007.0,-23.745499001470037,-373.234693374422,-0.011073763092213085,-176.359701467218,373.9892846875798
741283027.0,-21.1250808951349,-373.50416494410865,-0.010927111100556886,-176.76284785895476,374.10109632747924
741283047.0,-18.503872194290437,-373.7554056389988,-0.010679671393404533,-177.16571628180318,374.2131699052763
741283067.0,-15.880237009670097,-373.98760425749475,-0.011147418234116913,-177.5685709853208,374.32460521016225
741283087.0,-13.25581123054043,-374.2015720005338,-0.011514376702791651,-177.97118815295383,374.4362869955988
741283107.0,-10.629201615601872,-374.39747994320635,-0.011608466239493964,-178.37380088420838,374.5483318809586
741283127.0,-8.00180140626695,-374.57444783244875,-0.010896737667110301,-178.7762119659034,374.6599068418306
741283147.0,-5.372792658113838,-374.7334884241564,-0.011197237499544599,-179.17857020594047,374.7720030198153
741283167.0,-2.742993315183483,-374.8735889622451,-0.010691919412977313,-179.58076765052536,374.8836242272546
741283187.0,-0.11297867446656085,-374.9948819508677,-0.010665882057224962,-179.98273789500172,374.99489897000745
741283207.0,2.51921980205924,-375.0988243168939,-0.011072004389944823,179.61519876154395,375.10728394997494
741283227.0,5.150815631681851,-375.18365555572075,-0.010844390486539623,179.21344799243607,375.2190111092791
741283247.0,7.7834447037807735,-375.249273643063,-0.011504043690905519,178.8117376260856,375.32998731929644
741283267.0,10.416621721660277,-375.29764313135394,-0.011074852663455204,178.41012784757248,375.4421752387993
741283287.0,13.050831982664889,-375.3260902911303,-0.0108279006998373,178.00851456747725,375.5529233925166
741283307.0,15.68362165131478,-375.3372502803228,-0.010949281670832534,177.6072641866643,375.6647806703408
741283327.0,18.317201914474026,-375.33017939471904,-0.010969874926360035,177.20601645287653,375.7768798774714
741283347.0,20.95042217881003,-375.30301510609127,-0.011344788542373863,176.80491178153548,375.8873146798031
741283367.0,23.584190389081513,-375.25860221781716,-0.010630855883078993,176.40381417431416,375.99897948635225
741283387.0,26.216780655572123,-375.1959198838092,-0.011273314718209804,176.00295937551488,376.11075215340514
741283407.0,28.848768275427403,-375.11412642221,-0.011282036390610983,175.6022306911306,376.22182189834103
